Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,minutesPlayed,appearances,90s
7,4,24,401,91.97,0,0.0,22,56.41,3,16,13,29,63.04,Stefano Denswil,97404,Trabzonspor,3051,Trabzonspor,754,9,8.377777777777778
20,21,92,517,76.59,0,0.0,47,33.57,4,33,43,76,63.33,Ali Aytemur,802650,Bodrum FK,202390,Bodrum FK,1530,17,17.0
24,20,66,611,82.23,2,18.18,43,39.45,7,40,25,65,57.02,Emirhan Topçu,895009,Beşiktaş,3050,Beşiktaş,1133,17,12.588888888888889
18,26,58,454,80.64,0,0.0,42,34.43,6,27,22,49,63.64,Arlind Ajeti,111746,Bodrum FK,202390,Bodrum FK,1314,15,14.6
22,12,27,142,61.21,4,16.67,21,38.89,1,28,26,54,60.0,Lasse Nielsen,21547,Göztepe,3054,Göztepe,746,14,8.28888888888889
22,20,100,630,85.83,0,0.0,46,46.46,0,24,34,58,52.73,Noah Sonko Sundberg,279541,Sivasspor,3076,Sivasspor,1711,20,19.011111111111113
17,7,10,273,87.78,3,30.0,9,56.25,4,41,7,48,55.17,Bright Osayi-Samuel,791616,Fenerbahçe,3052,Fenerbahçe,825,14,9.166666666666666
9,32,90,410,72.57,0,0.0,46,42.59,1,19,47,66,62.86,Malcom Bokele,1122632,Göztepe,3054,Göztepe,1595,19,17.72222222222222
11,11,52,326,79.9,1,50.0,29,42.65,1,23,17,40,64.52,Enric Saborit,253303,Gaziantep FK,5138,Gaziantep FK,795,10,8.833333333333334
35,12,44,510,78.95,20,22.99,31,36.05,13,57,4,61,42.36,Uğur Çiftçi,142850,Sivasspor,3076,Sivasspor,1583,18,17.58888888888889
19,21,28,251,78.68,3,25.0,20,55.56,7,32,13,45,51.14,Umut Meraş,609746,Eyüpspor,7040,Eyüpspor,712,16,7.911111111111111
9,3,28,246,79.35,0,0.0,25,54.35,3,21,25,46,62.16,Fatih Aksoy,827922,Alanyaspor,6362,Alanyaspor,566,12,6.288888888888889
12,7,35,275,84.36,0,0.0,21,51.22,5,23,17,40,55.56,Rúben Vezo,233180,Eyüpspor,7040,Eyüpspor,729,11,8.1
20,10,33,558,84.93,1,25.0,30,48.39,2,36,35,71,53.79,Léo Duarte,839982,Başakşehir FK,3086,Başakşehir FK,1228,15,13.644444444444444
12,9,16,253,84.33,12,21.05,14,46.67,4,25,8,33,51.56,Casper Højer,281233,Çaykur Rizespor,3064,Çaykur Rizespor,743,12,8.255555555555556
14,10,33,257,76.72,3,13.04,19,50.0,0,20,14,34,56.67,Ismail Jakobs,897291,Galatasaray,3061,Galatasaray,842,12,9.355555555555556
26,17,57,540,85.99,0,0.0,23,46.0,2,34,29,63,57.27,Hamza Güreler,1562294,Başakşehir FK,3086,Başakşehir FK,1003,15,11.144444444444444
4,8,22,270,81.82,1,25.0,33,52.38,8,18,9,27,58.7,Andreaw Gravillon,827934,Adana Demirspor,3101,Adana Demirspor,720,8,8.0
19,18,45,422,73.52,18,33.96,36,35.64,4,37,35,72,53.73,Lucas Lima,248529,Başakşehir FK,3086,Başakşehir FK,1320,16,14.666666666666666
30,36,56,541,76.52,0,0.0,52,38.24,10,49,40,89,60.96,Francisco Calvo,156400,Hatayspor,3091,Hatayspor,1268,15,14.088888888888889
8,11,13,229,87.4,4,26.67,8,40.0,8,27,1,28,51.85,Mert Yilmaz,881966,Antalyaspor,3056,Antalyaspor,691,11,7.677777777777778
37,13,46,422,81.0,4,14.29,30,46.88,9,57,9,66,55.0,Kamil Ahmet Çörekçi,124728,Hatayspor,3091,Hatayspor,1198,15,13.311111111111112
21,33,105,575,85.69,0,0.0,60,52.17,1,28,30,58,55.77,Uroš Radaković,151900,Sivasspor,3076,Sivasspor,1567,19,17.41111111111111
25,14,42,309,81.75,0,0.0,19,35.85,3,34,22,56,56.57,Ertuğrul Ersoy,355004,Gaziantep FK,5138,Gaziantep FK,904,15,10.044444444444444
18,24,88,553,80.49,0,0.0,45,38.79,0,25,28,53,49.07,Bruno Viana,804703,Gaziantep FK,5138,Gaziantep FK,1506,17,16.733333333333334
22,18,93,815,81.09,3,60.0,132,50.57,5,33,12,45,54.22,Semih Güler,325155,Adana Demirspor,3101,Adana Demirspor,1800,20,20.0
26,18,85,647,86.61,0,0.0,40,50.63,1,30,37,67,52.76,Ľubomír Šatka,187231,Samsunspor,3053,Samsunspor,1752,20,19.466666666666665
28,14,88,1032,85.79,0,0.0,83,47.7,3,35,37,72,55.38,Attila Mocsi,889382,Çaykur Rizespor,3064,Çaykur Rizespor,1884,21,20.933333333333334
14,14,41,232,79.18,1,50.0,26,43.33,0,21,12,33,68.75,Samba Camara,837301,Sivasspor,3076,Sivasspor,657,11,7.3
27,39,68,746,79.03,5,27.78,52,35.86,10,45,42,87,52.1,Yasin Özcan,1392102,Kasımpaşa,6063,Kasımpaşa,1671,20,18.566666666666666
33,28,74,501,82.27,0,0.0,46,41.44,7,49,36,85,64.39,Guy-Marcelin Kilama,944222,Hatayspor,3091,Hatayspor,1558,18,17.31111111111111
7,4,23,297,86.59,0,0.0,9,34.62,1,11,31,42,62.69,Rodrigo Becão,880207,Fenerbahçe,3052,Fenerbahçe,605,11,6.722222222222222
34,18,46,447,81.57,14,35.0,28,50.0,19,78,9,87,52.1,Murat Paluli,893014,Sivasspor,3076,Sivasspor,1748,20,19.42222222222222
37,17,49,338,69.69,12,30.0,32,35.56,15,67,19,86,50.89,Nikola Boranijašević,150667,Konyaspor,3085,Konyaspor,1258,16,13.977777777777778
49,18,43,364,81.07,8,30.77,16,38.1,19,89,11,100,53.48,Cemali Sertel,929956,Hatayspor,3091,Hatayspor,1384,18,15.377777777777778
31,13,34,554,82.32,13,18.06,30,52.63,10,48,15,63,55.26,Güray Vural,43559,Antalyaspor,3056,Antalyaspor,1400,16,15.555555555555555
31,12,40,209,68.75,13,26.53,17,29.31,6,46,9,55,58.51,Uzeyir Ergun,996122,Bodrum FK,202390,Bodrum FK,992,15,11.022222222222222
36,13,29,374,81.66,5,20.0,21,50.0,21,76,11,87,52.41,Mithat Pala,1016393,Çaykur Rizespor,3064,Çaykur Rizespor,1084,18,12.044444444444444
18,9,18,164,75.58,6,23.08,11,40.74,5,26,3,29,46.77,Ogün Bayrak,903999,Göztepe,3054,Göztepe,736,12,8.177777777777777
