Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.24,1.42,51.72,2.08,0.62,0.33,21.93,71.23,1.42,0.81,1.23,1.33,0.47,3.74,0.9,42.79,1.04,Deian Sorescu,797602,Gaziantep FK,5138,Gaziantep FK,21.11111111111111,1900,24
0.16,1.03,56.52,1.58,0.47,0.0,43.07,87.08,1.5,1.1,1.66,1.34,0.16,3.23,0.47,50.54,0.87,João Mário,97001,Beşiktaş,3050,Beşiktaş,12.677777777777777,1141,18
0.24,2.37,48.78,1.42,0.59,0.12,22.92,70.18,1.66,0.36,1.78,2.61,1.31,6.29,2.85,50.0,1.42,Isaac Solet,1606478,Göztepe,3054,Göztepe,8.422222222222222,758,11
0.0,0.77,60.0,0.77,0.0,0.13,41.99,83.04,0.9,0.13,2.3,3.58,1.41,5.38,2.3,56.6,1.02,İsmail Yüksek,952600,Fenerbahçe,3052,Fenerbahçe,7.811111111111111,703,13
1.21,0.35,100.0,3.28,1.38,0.35,31.09,86.54,1.38,0.69,2.59,1.73,0.52,2.76,0.35,37.5,0.86,Soner Aydoğdu,69351,Samsunspor,3053,Samsunspor,5.788888888888889,521,22
0.1,0.26,45.45,1.62,0.42,0.42,20.85,78.81,1.99,1.57,1.47,2.15,0.42,3.98,0.47,51.83,1.62,Sebastian Szymański,847983,Fenerbahçe,3052,Fenerbahçe,19.08888888888889,1718,24
0.04,0.76,61.29,0.92,0.24,0.08,30.57,82.51,0.76,0.36,2.4,2.76,0.8,6.08,1.04,62.9,2.64,Charis Charisis,317297,Sivasspor,3076,Sivasspor,24.988888888888887,2249,26
0.05,0.27,40.0,0.77,0.14,0.05,38.34,87.18,0.5,0.23,2.0,2.73,1.91,3.87,1.91,50.8,0.86,Richard Cândido,897617,Alanyaspor,6362,Alanyaspor,21.988888888888887,1979,24
0.0,1.08,66.67,0.83,0.15,0.39,21.2,72.48,1.62,0.74,1.32,1.37,0.44,4.27,1.47,53.67,1.86,Olivier Kemen,280447,Başakşehir FK,3086,Başakşehir FK,20.377777777777776,1834,23
0.0,0.62,56.0,0.31,0.04,0.04,36.56,88.95,0.53,0.36,1.51,3.47,1.91,4.72,0.98,51.61,0.76,Melih Kabasakal,828872,Eyüpspor,7040,Eyüpspor,22.455555555555556,2021,23
0.11,0.98,48.65,1.09,0.33,0.66,19.95,73.15,1.64,0.44,1.53,1.42,0.55,3.93,0.66,37.5,1.53,Emre Kılınç,202032,Samsunspor,3053,Samsunspor,18.3,1647,21
0.08,0.23,100.0,0.84,0.31,0.15,54.06,85.28,0.84,0.08,4.36,1.99,1.53,2.68,1.76,44.62,0.46,Mutassim Al-Musrati,868958,Beşiktaş,3050,Beşiktaş,13.077777777777778,1177,16
0.26,0.72,50.0,1.8,0.72,0.15,25.98,80.13,1.39,0.98,1.08,2.16,0.41,4.64,0.67,50.74,1.8,Emre Akbaba,343527,Eyüpspor,7040,Eyüpspor,19.4,1746,27
0.12,0.99,50.0,1.18,0.31,0.25,29.44,80.75,0.62,0.19,1.49,3.04,1.61,6.52,1.12,54.42,2.55,Miguel Crespo,972410,Başakşehir FK,3086,Başakşehir FK,16.1,1449,21
0.13,2.24,50.0,1.92,0.83,0.0,17.53,77.4,2.11,1.54,0.77,1.41,0.32,4.99,0.38,50.91,1.34,Zdravko Dimitrov,871342,Bodrum FK,202390,Bodrum FK,15.633333333333333,1407,25
0.3,0.6,57.14,1.44,0.91,0.08,32.19,84.86,1.59,0.23,1.59,1.44,0.53,2.64,1.06,48.04,0.6,Ozan Tufan,251907,Trabzonspor,3051,Trabzonspor,13.233333333333333,1191,21
0.11,0.21,50.0,1.1,0.16,0.16,52.49,88.02,0.63,0.05,4.47,1.63,0.84,2.0,1.42,46.76,0.16,John Lundstram,149815,Trabzonspor,3051,Trabzonspor,19.033333333333335,1713,25
0.13,1.6,60.0,0.67,0.27,0.13,48.34,82.09,0.8,0.0,3.61,2.94,1.07,4.81,1.47,49.47,0.27,Cher Ndour,1114422,Beşiktaş,3050,Beşiktaş,7.488888888888889,674,12
0.12,2.49,57.97,1.12,0.37,0.06,21.64,82.08,0.87,0.25,0.75,1.31,0.68,5.85,0.5,48.8,2.05,Prince Ampem,923888,Eyüpspor,7040,Eyüpspor,16.07777777777778,1447,21
0.21,1.39,47.62,1.6,0.63,0.35,20.83,77.12,1.32,0.56,0.9,1.67,1.32,4.51,0.76,49.03,1.46,Carlos Mané,859748,Kayserispor,3072,Kayserispor,14.4,1296,21
0.05,0.27,75.0,0.41,0.05,0.09,41.27,85.55,0.63,0.0,3.53,1.99,1.31,3.03,1.36,52.15,0.9,Youssef Aït Bennasser,802850,Samsunspor,3053,Samsunspor,22.1,1989,23
